id,financial_report_id/id,sequence,parent_id/id,code,level,name,groupby,domain,formulas,special_date_changer,green_on_positive,show_domain,figure_type,hide_if_zero,action_id/id
3000000,toyosa_balance_general,3,,A3000000,0,3000000 PATRIMONIO,account_id,,balance = A3100000.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
3100000,,1,3000000,A3100000,1,3100000 PATRIMONIO,account_id,,balance = A3110000.balance + A3120000.balance + A3130000.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
3110000,,1,3100000,A3110000,2,3110000 CAPITAL Y RESERVAS,account_id,,balance = A3110100.balance + A3110200.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
3110100,,1,3110000,A3110100,3,3110100 CAPITAL,account_id,"[('account_id','ilike','31101%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
3110200,,2,3110000,A3110200,3,3110200 RESERVAS,account_id,"[('account_id','ilike','31102%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
3120000,,2,3100000,A3120000,2,3120000 RESERVAS PATRIMONIALES,account_id,,balance = A3120100.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
3120100,,3,3120000,A3120100,3,3120100 RESERVAS PATRIMONIALES,account_id,"[('account_id','ilike','31201%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
3130000,,3,3100000,A3130000,2,3130000 RESULTADOS,account_id,,balance = A3130300.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
3130300,,4,3130000,A3130300,3,3130300 RESULTADOS,account_id,"[('account_id','ilike','31303%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
4000000,toyosa_estado_resultados,1,,A4000000,0,4000000 INGRESOS,account_id,,balance = A4100000.balance + A4200000.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
4100000,,1,4000000,A4100000,1,4100000 INGRESOS OPERATIVOS,account_id,,balance = A4110000.balance + A4120000.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
4110000,,1,4100000,A4110000,2,4110000 INGRESOS POR VENTAS,account_id,,balance = A4110100.balance + A4110200.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
4110100,,1,4110000,A4110100,3,4110100 INGRESOS POR VENTAS DE BIENES,account_id,"[('account_id','ilike','41101%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
4110200,,2,4110000,A4110200,3,4110200 INGRESOS POR VENTA DE SERVICIOS,account_id,"[('account_id','ilike','41102%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
4120000,,2,4100000,A4120000,2,4120000 DESCUENTOS EN VENTAS,account_id,,balance = A4120100.balance + A4120200.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
